State,Rate per kWh,Avg. bill
Alabama,13.58,150.14
Alaska,22.91,131.39
Arizona,12.83,131.63
Arkansas,11.49,122.65
California,24.9,132.57
Colorado,13.85,100.25
Connecticut,23.44,167.56
Delaware,13.06,138.80
Florida,13.1,155.30
Georgia,13.41,128.21
Hawaii,38.26,237.78
Idaho,10.37,101.00
Illinois,14.47,117.86
Indiana,14.14,147.58
Iowa,12.98,96.43
Kansas,13.49,118.90
Kentucky,12.28,140.81
Louisiana,11.87,146.38
Maine,20.68,131.52
Maryland,13.9,151.40
Massachusetts,24.09,183.15
Michigan,17.64,119.19
Minnesota,13.81,103.44
Mississippi,12.17,146.96
Missouri,12.17,114.71
Montana,11.19,102.98
Nebraska,10.92,98.89
Nevada,12.65,143.56
New Hampshire,21.65,195.11
New Jersey,16.64,114.87
New Mexico,13.86,87.60
New York,20.83,136.51
North Carolina,11.73,125.97
North Dakota,10.84,100.14
Ohio,13.3,124.11
Oklahoma,11.88,122.18
Oregon,11.34,103.52
Pennsylvania,14.79,152.07
Rhode Island,22.27,160.88
South Carolina,13.65,154.26
South Dakota,12.15,115.05
Tennessee,11.72,145.39
Texas,12.71,156.00
Utah,10.77,81.69
Vermont,19.84,114.25
Virginia,12.71,152.50
Washington,10.2,98.70
West Virginia,12.81,136.02
Wisconsin,15.11,102.60
Wyoming,11.09,90.08
